| -932589.6 | 789938.75 | 436299.88 | 5685.1875 | 853287.0 | 893643.75 | 968684.4 | -912955.6 | 321801.75 |
| 494900.94 | -692007.0 | 83212.625 | -648390.5 | -669772.4 | 24090.188 | 295240.4 | 666737.6 | 148833.6 |
| -374970.56 | -705836.25 | -85906.0 | 279591.62 | -738634.5 | 49400.25 | 345053.25 | 753404.1 | 103806.375 |
| 984890.5 | 193221.25 | 612350.1 | 992849.0 | 462925.38 | 573855.5 | 614869.9 | 830351.75 | -243826.5 |
| -124050.5 | 387692.12 | 169940.12 | -591765.6 | -875229.75 | -385521.06 | 411563.12 | -346160.88 | 249160.0 |
| 542948.44 | -272293.88 | 553793.8 | -372350.53 | -807720.7 | 139941.75 | 264371.75 | -447180.75 | 779119.56 |
| 692266.56 | -413478.47 | 274725.03 | 657923.6 | -390917.44 | 755216.3 | -618310.1 | -909441.7 | 805942.75 |
| 312313.75 | -513457.56 | -227826.88 | 606558.75 | -861085.4 | 108221.51 | -202774.62 | 518641.94 | 819622.9 |
| 768863.75 | -396249.44 | 754416.1 | -732028.1 | -646162.6 | -242968.31 | 281032.5 | -507721.44 | -267233.94 |
| 168225.25 | 278053.62 | 530814.5 | -621974.5 | -562432.75 | 108618.125 | 632942.9 | -725079.75 | 173466.62 |
